player_season_id,player_id,player_name,club_id,club_name,season_id,season_label,primary_position,appearances,starts,minutes_played,goals,assists,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,successful_dribbles,xg,xa,tackles,interceptions,clearances,aerial_duels_won,yellow_cards,red_cards,clean_sheets,team_goals_scored,team_goals_conceded,league_name,final_table_rank,team_points,team_wins,team_draws,team_losses
marco-asensio-real-madrid-2021-2022,marco-asensio,Marco Asensio,real-madrid,Real Madrid,2021-2022,2021/22,MF,31,19,1731,10,0,64,34,0,0,0,0,0,0,0,0,0,0,2,0,0,80,31,La Liga,1,86,26,8,4
iago-aspas-celta-vigo-2021-2022,iago-aspas,Iago Aspas,celta-vigo,Celta Vigo,2021-2022,2021/22,FW,37,36,3087,18,5,90,41,0,0,0,0,0,0,0,0,0,0,9,0,0,43,43,La Liga,11,46,12,10,16
pierre-emerick-aubameyang-barcelona-2021-2022,pierre-emerick-aubameyang,Pierre-Emerick Aubameyang,barcelona,Barcelona,2021-2022,2021/22,FW,17,13,1082,11,1,36,19,0,0,0,0,0,0,0,0,0,0,0,0,0,68,38,La Liga,2,73,21,10,7
ludwig-augustinsson-sevilla-2021-2022,ludwig-augustinsson,Ludwig Augustinsson,sevilla,Sevilla,2021-2022,2021/22,DF,19,9,793,0,1,4,2,0,0,0,0,0,0,0,0,0,0,3,0,0,53,30,La Liga,4,70,18,16,4
serge-aurier-villarreal-2021-2022,serge-aurier,Serge Aurier,villarreal,Villarreal,2021-2022,2021/22,DF,19,10,1010,0,1,11,2,0,0,0,0,0,0,0,0,0,0,4,0,0,63,37,La Liga,7,59,16,11,11
ezequiel-avila-osasuna-2021-2022,ezequiel-avila,Ezequiel Ávila,osasuna,Osasuna,2021-2022,2021/22,MF,36,22,1870,6,1,63,16,0,0,0,0,0,0,0,0,0,0,9,1,0,37,51,La Liga,10,47,12,11,15
iddrisu-baba-mallorca-2021-2022,iddrisu-baba,Iddrisu Baba,mallorca,Mallorca,2021-2022,2021/22,MF,26,23,1934,2,0,23,9,0,0,0,0,0,0,0,0,0,0,9,0,0,36,63,La Liga,16,39,10,9,19
carlos-bacca-granada-2021-2022,carlos-bacca,Carlos Bacca,granada,Granada,2021-2022,2021/22,FW,17,4,513,0,1,9,2,0,0,0,0,0,0,0,0,0,0,3,0,0,44,61,La Liga,18,38,8,14,16
edgar-badia-elche-2021-2022,edgar-badia,Édgar Badía,elche,Elche,2021-2022,2021/22,GK,24,24,2160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,52,La Liga,13,42,11,9,18
mikel-balenziaga-athletic-club-2021-2022,mikel-balenziaga,Mikel Balenziaga,athletic-club,Athletic Club,2021-2022,2021/22,DF,26,23,2027,0,0,7,2,0,0,0,0,0,0,0,0,0,0,2,0,0,43,36,La Liga,8,55,14,13,11
