rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
2,Patrick van Aanholt,Netherlands,DF,Crystal Palace,Premier League,29,1990,22,1777,0,1,1,0,0,1.4,1.4,38,103,0.00,0.05,35,22,44.2,6,12,30,40,2,0,0,0,0,0,0,0,906,1164,77.8,5990,88.9,78.7,48.6,11,71,20,61,22,45.5,54.5,38,29,9,6,0,18,27.8,0.25,0.00,0.00,45.8,1.52,0.15,0,2020-2021
3,Yunis Abdelhamid,Morocco,DF,Reims,Ligue 1,32,1987,33,2889,3,0,3,3,0,1.9,1.9,18,99,0.09,0.00,59,37,61.9,15,19,61,132,0,0,0,0,0,0,0,0,1506,1762,85.5,12190,88.4,91.0,64.7,4,76,1,230,16,43.8,56.3,18,5,1,12,3,15,33.3,0.16,0.20,0.60,63.4,0.53,0.00,0,2020-2021
4,Sabit Abdulai,Ghana,MF,Getafe,La Liga,21,1999,3,60,0,0,0,0,0,0.0,0.0,0,1,0.00,0.00,2,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,7,14,50.0,10,40.0,100.0,33.3,0,0,1,0,2,50.0,50.0,0,1,0,0,0,0,0,0.00,0,0,25.0,0.00,0.00,0,2020-2021
5,Mehdi Abeid,Algeria,MF,Nantes,Ligue 1,27,1992,18,1320,0,0,0,0,0,1.0,1.0,32,65,0.00,0.00,34,19,50.0,2,7,20,10,0,0,0,0,0,0,0,0,605,718,84.3,2928,93.6,89.8,60.3,12,64,7,23,27,70.4,29.6,32,23,3,10,0,20,0.0,0.00,0.00,0,41.9,2.11,0.07,0,2020-2021
6,Laurent Abergel,France,MF,Lorient,Ligue 1,27,1993,38,2963,3,1,4,3,0,1.5,1.5,32,138,0.09,0.03,145,84,33.3,6,58,46,12,0,0,0,0,0,0,0,0,1288,1564,82.4,6551,89.4,87.9,64.7,20,115,13,31,37,78.4,21.6,32,32,4,44,3,29,34.5,0.30,0.10,0.30,34.6,1.79,0.27,0,2020-2021
7,Charles Abi,France,FW,Saint-Étienne,Ligue 1,20,2000,24,912,3,2,5,3,0,2.1,2.1,13,21,0.30,0.20,8,2,25.0,2,4,4,5,0,0,0,0,0,0,0,0,128,202,63.4,317,73.0,61.4,52.9,6,11,6,9,24,50.0,50.0,13,15,2,20,3,19,21.1,0.39,0.16,0.75,38.5,1.38,0.30,0,2020-2021
9,Pape Abou Cissé,Senegal,DF,Saint-Étienne,Ligue 1,24,1995,14,1260,0,0,0,0,0,1.4,1.4,2,31,0.00,0.00,15,13,60.0,4,3,27,87,0,0,0,0,0,0,0,0,521,681,76.5,4984,85.0,85.3,55.0,3,31,1,115,4,50.0,50.0,2,2,1,0,0,13,23.1,0.21,0.00,0.00,78.6,0.64,0.00,0,2020-2021
10,David Abraham,Argentina,DF,Eint Frankfurt,Bundesliga,34,1986,14,1222,1,0,1,1,0,0.6,0.6,12,55,0.07,0.00,18,12,64.7,4,9,17,34,0,0,0,0,0,0,0,0,558,678,82.3,3990,89.5,86.2,63.2,2,50,3,50,5,80.0,20.0,12,8,1,1,1,10,20.0,0.15,0.10,0.50,63.3,0.37,0.00,0,2020-2021
11,Tammy Abraham,England,FW,Chelsea,Premier League,22,1997,22,1040,6,1,7,6,0,5.9,5.9,12,11,0.52,0.09,7,5,14.3,0,6,5,17,0,0,0,0,0,0,0,0,149,211,70.6,297,76.6,71.7,50.0,9,14,1,20,18,33.3,66.7,12,5,8,7,6,32,40.6,1.13,0.19,0.46,57.6,1.47,0.17,0,2020-2021
12,Amir Abrashi,Albania,MF,Freiburg,Bundesliga,30,1990,5,60,0,0,0,0,0,0.0,0.0,1,0,0.00,0.00,1,1,0,1,0,2,1,0,0,0,0,0,0,0,0,18,23,78.3,20,78.6,80.0,100.0,0,1,0,3,0,0,0,1,2,1,1,0,0,0,0.00,0,0,33.3,0.00,0.00,0,2020-2021
