rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
1,Ismael Aaneba,France,DF,Strasbourg,Ligue 1,19,1999,3,204,0,0,0,0,0,0.0,0.0,3,8,0.00,0.00,12,6,50.0,0,5,8,9,0,0,0,0,0,0,0,0,73,120,60.8,635,74.4,60.8,52.9,2,6,2,9,3,66.7,33.3,3,4,0,2,0,0,0,0.00,0,0,16.7,1.32,0.00,0,2018-2019
2,Patrick van Aanholt,Netherlands,DF,Crystal Palace,Premier League,27,1990,36,3195,3,2,5,3,0,2.6,2.6,89,212,0.08,0.06,48,24,60.0,9,24,40,91,2,0,0,0,0,0,0,0,1564,1971,79.4,10061,87.8,80.2,52.1,35,117,52,123,42,52.4,47.6,89,69,16,15,3,45,24.4,0.31,0.07,0.27,45.5,2.42,0.17,0,2018-2019
3,Ignazio Abate,Italy,DF,Milan,Serie A,31,1986,19,1302,0,0,0,0,0,0.1,0.1,27,88,0.00,0.00,34,19,63.6,6,13,18,50,0,0,0,0,0,0,0,0,763,925,82.5,4961,93.9,84.9,52.6,7,69,11,67,10,40.0,60.0,27,13,4,2,0,1,100.0,0.07,0.00,0.00,61.9,1.59,0.07,0,2018-2019
4,Yunis Abdelhamid,Morocco,DF,Reims,Ligue 1,30,1987,38,3420,0,0,0,0,0,1.6,1.6,16,71,0.00,0.00,60,33,75.0,24,20,65,196,0,0,0,0,0,0,0,0,1330,1614,82.4,10765,84.9,91.7,59.2,3,49,3,259,23,91.3,8.7,16,7,1,6,0,19,21.1,0.11,0.00,0.00,61.4,0.66,0.05,0,2018-2019
5,Mehdi Abeid,Algeria,MF,Dijon,Ligue 1,25,1992,26,2023,3,0,3,2,1,2.9,2.1,43,97,0.13,0.00,51,33,33.3,7,26,29,23,1,0,0,0,0,0,0,0,903,1068,84.6,3725,89.9,90.1,62.9,22,92,5,30,60,51.7,48.3,43,23,4,31,3,36,27.8,0.44,0.06,0.20,39.5,1.82,0.09,0,2018-2019
6,Charles Abi,France,DF,Saint-Étienne,Ligue 1,18,2000,3,32,0,0,0,0,0,0.1,0.1,2,1,0.00,0.00,4,4,100.0,0,1,0,1,0,0,0,0,0,0,0,0,6,17,35.3,8,71.4,0.0,0.0,1,0,1,1,3,66.7,33.3,2,2,0,2,0,1,0.0,0.00,0.00,0,66.7,5.63,0.00,0,2018-2019
7,David Abraham,Argentina,DF,Eint Frankfurt,Bundesliga,32,1986,17,1420,0,0,0,0,0,0.8,0.8,20,80,0.00,0.00,22,14,44.0,12,11,24,64,0,0,0,0,0,0,0,0,514,671,76.6,4118,82.6,85.5,61.0,5,56,6,94,7,85.7,14.3,20,14,0,2,0,5,20.0,0.06,0.00,0.00,64.5,0.76,0.06,0,2018-2019
8,Amir Abrashi,Albania,MF,Freiburg,Bundesliga,28,1990,10,790,0,0,0,0,0,0.2,0.2,6,19,0.00,0.00,20,11,31.6,3,8,14,15,0,0,0,0,0,0,0,0,319,372,85.8,1108,88.5,94.2,69.2,2,14,0,24,5,60.0,40.0,6,4,1,8,0,7,28.6,0.23,0.00,0.00,55.6,0.91,0.00,0,2018-2019
9,Francesco Acerbi,Italy,DF,Lazio,Serie A,30,1988,37,3309,3,1,4,3,0,3.4,3.4,39,135,0.08,0.03,40,30,75.0,32,18,61,169,1,0,0,0,0,0,0,0,1560,1800,86.7,11601,91.5,92.4,69.0,10,111,7,257,11,81.8,18.2,39,26,2,8,3,18,38.9,0.19,0.17,0.43,69.1,0.84,0.05,0,2018-2019
10,Afriyie Acquah,Ghana,MF,Empoli,Serie A,26,1992,28,1510,2,0,2,2,0,1.4,1.4,58,91,0.12,0.00,27,9,36.4,1,10,12,16,0,0,0,0,0,0,0,0,580,738,78.6,2290,89.9,82.0,48.4,11,66,12,22,35,77.1,22.9,58,45,9,21,2,22,31.8,0.42,0.09,0.29,44.0,2.62,0.06,0,2018-2019
