rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
11,Tyler Adams,United States,MF,RB Leipzig,Bundesliga,19,1999,10,721,0,2,2,0,0,0.1,0.1,19,64,0.00,0.25,29,17,42.3,1,16,16,8,0,0,0,0,0,0,0,0,424,530,80.0,2131,83.5,84.4,62.9,5,53,5,16,19,73.7,26.3,19,19,0,6,0,2,50.0,0.12,0.00,0.00,54.8,1.50,0.37,0,2018-2019
12,Antonio Adán,Spain,GK,Atlético Madrid,La Liga,31,1987,1,90,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,2,2.00,5,71.4,0,0.0,0,13,24,54.2,295,100.0,100.0,38.9,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0.0,2018-2019
13,Aday,Spain,DF,Girona,La Liga,30,1987,10,645,0,2,2,0,0,0.3,0.3,35,11,0.00,0.28,9,8,85.7,0,1,7,17,1,0,0,0,0,0,0,0,227,320,70.9,1386,89.7,69.9,47.6,13,5,11,21,9,66.7,33.3,35,24,5,4,0,9,33.3,0.42,0.00,0.00,28.6,3.91,0.28,0,2018-2019
14,Khaled Adénon,Benin,DF,Amiens,Ligue 1,33,1985,23,1994,0,0,0,0,0,0.7,0.7,13,63,0.00,0.00,31,22,57.1,11,15,31,101,0,0,0,0,0,0,0,0,837,973,86.0,6832,91.9,91.9,64.9,5,53,3,127,1,100.0,0.0,13,4,0,7,0,8,0.0,0.00,0.00,0,46.8,0.50,0.00,0,2018-2019
15,Claud Adjapong,Italy,MF,Sassuolo,Serie A,20,1998,5,270,1,0,1,1,0,0.7,0.7,6,4,0.33,0.00,4,2,50.0,1,2,1,4,0,0,0,0,0,0,0,0,74,101,73.3,286,78.8,83.3,75.0,2,1,2,5,14,42.9,57.1,6,4,4,6,1,2,50.0,0.33,0.50,1.00,33.3,0.33,0.00,0,2018-2019
16,Yacine Adli,France,MF,Bordeaux,Ligue 1,18,2000,7,216,0,0,0,0,0,0.0,0.0,13,17,0.00,0.00,7,2,33.3,0,3,2,0,0,0,0,0,0,0,0,0,111,151,73.5,526,78.3,76.3,56.3,6,17,2,0,15,60.0,40.0,13,12,2,5,0,1,0.0,0.00,0.00,0,66.7,4.17,0.00,0,2018-2019
17,Ali Adnan Kadhim,Iraq,DF,Atalanta,Serie A,24,1993,3,166,0,0,0,0,0,0.2,0.2,7,8,0.00,0.00,1,1,50.0,1,0,3,6,0,0,0,0,0,0,0,0,77,117,65.8,457,83.3,65.7,36.8,3,5,1,7,7,71.4,28.6,7,2,0,1,0,3,0.0,0.00,0.00,0,66.7,4.34,0.00,0,2018-2019
18,Aritz Aduriz,Spain,FW,Athletic Club,La Liga,37,1981,20,943,2,0,2,0,2,3.3,1.8,8,15,0.19,0.00,4,2,14.3,1,1,0,4,0,0,0,0,0,0,0,0,146,238,61.3,325,64.7,57.6,42.9,8,9,4,4,9,22.2,77.8,8,5,1,6,2,17,52.9,0.86,0.00,0.00,47.7,1.81,0.10,0,2018-2019
19,Luis Advíncula,Peru,DF,Rayo Vallecano,La Liga,28,1990,28,2389,1,3,4,1,0,1.1,1.1,51,90,0.04,0.11,52,38,67.7,2,20,19,60,1,0,0,0,0,0,0,0,957,1197,79.9,5283,90.8,81.3,52.8,16,60,23,84,53,73.6,26.4,51,32,7,33,1,17,29.4,0.19,0.06,0.20,42.1,1.88,0.41,0,2018-2019
20,Martin Agirregabiria,Spain,DF,Alavés,La Liga,22,1996,27,2032,0,0,0,0,0,0.0,0.0,36,89,0.00,0.00,45,29,60.9,11,22,27,65,1,0,0,0,0,0,0,0,653,964,67.7,4920,82.3,71.7,34.3,8,54,14,89,39,66.7,33.3,36,21,4,11,0,1,0.0,0.00,0.00,0,41.3,0.97,0.04,0,2018-2019
21,Nayef Aguerd,Morocco,DF,Dijon,Ligue 1,22,1996,13,1050,3,0,3,3,0,1.5,1.5,11,32,0.26,0.00,17,12,42.1,11,9,14,59,1,0,0,0,0,0,0,0,465,604,77.0,4171,91.6,84.5,54.1,2,39,3,68,7,85.7,14.3,11,6,0,5,3,10,40.0,0.34,0.30,0.75,64.1,0.69,0.00,0,2018-2019
22,Sergio Agüero,Argentina,FW,Manchester City,Premier League,30,1988,33,2459,21,8,29,19,2,18.1,16.5,81,76,0.77,0.29,17,9,55.6,1,14,9,3,0,0,0,0,0,0,0,0,661,796,83.0,1420,89.1,85.8,50.0,34,40,40,4,73,61.6,38.4,81,60,35,54,21,116,35.3,1.50,0.16,0.46,43.6,3.33,0.70,0,2018-2019
23,Ruben Aguilar,France,DF,Montpellier,Ligue 1,25,1993,29,2528,1,4,5,1,0,0.9,0.9,85,128,0.04,0.14,88,51,56.5,3,20,37,50,1,0,0,0,0,0,0,0,1315,1640,80.2,7554,90.6,81.7,54.1,44,82,46,63,71,50.7,49.3,85,60,9,26,1,13,30.8,0.14,0.08,0.25,46.7,3.67,0.25,0,2018-2019
24,Juan Aguilera,Spain,MF,Huesca,La Liga,32,1985,6,344,0,0,0,0,0,0.5,0.5,8,21,0.00,0.00,2,2,25.0,2,2,4,2,0,0,0,0,0,0,0,0,166,189,87.8,846,96.8,85.3,73.7,0,16,3,5,1,100.0,0.0,8,2,1,2,0,3,33.3,0.26,0.00,0.00,50.0,1.57,0.00,0,2018-2019
25,Emmanuel Agyemang-Badu,Ghana,MF,Udinese,Serie A,27,1990,4,161,0,0,0,0,0,0.1,0.1,2,1,0.00,0.00,4,0,100.0,0,2,1,2,0,0,0,0,0,0,0,0,27,35,77.1,42,86.4,80.0,100.0,1,0,0,4,2,0.0,100.0,2,2,0,2,0,2,0.0,0.00,0.00,0,50.0,1.12,0.00,0,2018-2019
26,Jean-Eudes Aholou,Ivory Coast,MF,Monaco,Ligue 1,24,1994,17,1075,0,1,1,0,0,0.8,0.8,36,64,0.00,0.08,20,11,50.0,0,7,17,12,0,0,0,0,0,0,0,0,463,549,84.3,2051,88.6,88.5,71.4,8,50,4,10,17,58.8,41.2,36,24,4,9,0,13,23.1,0.25,0.00,0.00,46.8,2.34,0.25,0,2018-2019
27,Antonis Aidonis,Germany,DF,Stuttgart,Bundesliga,17,2001,2,80,0,0,0,0,0,0.0,0.0,0,2,0.00,0.00,3,1,25.0,0,1,2,2,0,0,0,0,0,0,0,0,13,35,37.1,147,60.0,42.1,40.0,0,3,2,0,1,0.0,100.0,0,0,0,0,0,0,0,0.00,0,0,33.3,1.13,0.00,0,2018-2019
28,Ola Aina,Nigeria,DF,Torino,Serie A,21,1996,30,2160,1,3,4,1,0,1.4,1.4,62,97,0.04,0.12,54,36,47.9,3,27,39,59,2,0,0,0,0,0,0,0,861,1178,73.1,5830,88.6,67.8,55.3,25,53,30,63,61,49.2,50.8,62,56,6,23,1,24,20.8,0.21,0.04,0.20,58.6,2.37,0.21,0,2018-2019
29,Youssef Aït Bennasser,Morocco,MF,Saint-Étienne,Ligue 1,22,1996,13,936,0,0,0,0,0,0.3,0.3,6,67,0.00,0.00,25,13,46.4,2,13,19,6,2,0,0,0,0,0,0,0,572,656,87.2,2532,90.1,89.6,86.7,7,42,7,12,16,68.8,31.3,6,2,0,7,0,7,14.3,0.10,0.00,0.00,41.2,1.93,0.00,0,2018-2019
30,Youssef Aït Bennasser,Morocco,MF,Monaco,Ligue 1,22,1996,13,1073,0,2,2,0,0,0.3,0.3,21,86,0.00,0.17,33,16,44.8,5,10,15,19,0,0,0,0,0,0,0,0,633,737,85.9,3794,92.2,90.2,68.9,12,70,6,34,14,85.7,14.3,21,20,0,7,0,8,12.5,0.08,0.00,0.00,41.2,2.26,0.42,0,2018-2019
31,Rayan Aït-Nouri,Algeria,DF,Angers,Ligue 1,17,2001,3,57,0,0,0,0,0,0.0,0.0,3,3,0.00,0.00,2,2,0.0,0,0,0,1,0,0,0,0,0,0,0,0,30,35,85.7,145,91.3,66.7,100.0,0,3,1,2,0,0,0,3,1,1,0,0,0,0,0.00,0,0,0.0,3.16,0.00,0,2018-2019
32,Ludovic Ajorque,France,FW,Strasbourg,Ligue 1,24,1994,25,1531,9,1,10,9,0,5.7,5.7,11,25,0.53,0.06,17,13,44.4,0,5,5,9,0,0,0,0,0,0,0,0,339,459,73.9,562,78.3,77.2,77.8,13,20,7,11,18,55.6,44.4,11,13,4,23,9,46,37.0,1.00,0.20,0.53,63.4,2.06,0.24,0,2018-2019
33,Manuel Akanji,Switzerland,DF,Dortmund,Bundesliga,23,1995,25,2205,1,0,1,1,0,0.5,0.5,24,122,0.04,0.00,29,19,56.0,13,9,27,92,2,0,0,0,0,0,0,0,1722,1855,92.8,11973,94.4,96.7,81.5,6,94,3,143,12,66.7,33.3,24,13,1,6,1,7,28.6,0.08,0.14,0.50,54.3,0.73,0.16,0,2018-2019
34,Carlos Akapo,Equatorial Guinea,DF,Huesca,La Liga,25,1993,13,1023,0,0,0,0,0,0.2,0.2,33,34,0.00,0.00,28,15,57.6,2,10,23,36,0,0,0,0,0,0,0,0,332,443,74.9,1943,87.1,70.9,55.3,3,21,4,39,14,57.1,42.9,33,29,9,3,0,7,14.3,0.09,0.00,0.00,58.8,1.51,0.18,0,2018-2019
35,Nathan Aké,Netherlands,DF,Bournemouth,Premier League,23,1995,38,3411,4,0,4,4,0,3.4,3.4,20,98,0.11,0.00,66,35,62.9,35,16,32,241,0,0,0,0,0,0,0,0,1491,1733,86.0,10116,91.1,90.0,60.4,7,74,6,305,5,60.0,40.0,20,18,2,6,4,25,32.0,0.21,0.16,0.50,56.6,0.63,0.03,0,2018-2019
36,Sergio Akieme,Spain,DF,Rayo Vallecano,La Liga,20,1997,2,180,0,1,1,0,0,0.0,0.0,5,7,0.00,0.50,3,3,100.0,0,0,1,5,0,0,0,0,0,0,0,0,64,84,76.2,312,92.3,84.6,33.3,1,3,1,7,2,100.0,0.0,5,5,0,4,0,0,0,0.00,0,0,16.7,0.50,0.50,0,2018-2019
37,Chadrac Akolo,Democratic Republic of the Congo,MF,Stuttgart,Bundesliga,23,1995,16,525,0,1,1,0,0,0.9,0.9,14,14,0.00,0.17,9,6,33.3,0,7,4,1,0,0,0,0,0,0,0,0,119,161,73.9,355,89.0,70.6,25.0,6,7,4,0,14,50.0,50.0,14,8,4,11,0,14,21.4,0.51,0.00,0.00,26.1,3.60,0.17,0,2018-2019
38,Kevin Akpoguma,Nigeria,DF,Hoffenheim,Bundesliga,23,1995,8,499,0,0,0,0,0,0.0,0.0,4,33,0.00,0.00,23,15,52.4,5,13,12,20,2,0,0,0,0,0,0,0,228,269,84.8,1468,90.2,91.2,57.1,0,27,0,37,1,100.0,0.0,4,2,0,3,0,0,0,0.00,0,0,41.7,1.26,0.36,0,2018-2019
39,Kevin Akpoguma,Nigeria,DF,Hannover 96,Bundesliga,23,1995,4,313,0,0,0,0,0,0.0,0.0,2,20,0.00,0.00,10,6,85.7,2,5,10,7,2,0,0,0,0,0,0,0,135,171,78.9,903,88.9,88.0,50.0,0,13,2,12,2,100.0,0.0,2,3,0,2,0,0,0,0.00,0,0,54.5,1.15,0.00,0,2018-2019
40,David Alaba,Austria,DF,Bayern Munich,Bundesliga,26,1992,31,2530,3,3,6,3,0,3.2,3.2,87,190,0.11,0.11,34,21,65.4,3,21,31,40,0,0,0,0,0,0,0,0,1769,2153,82.2,8480,91.4,84.4,50.0,28,144,41,46,39,74.4,25.6,87,63,11,19,3,47,34.0,0.57,0.06,0.19,52.2,2.99,0.32,0,2018-2019
41,Sofiane Alakouch,Morocco,DF,Nîmes,Ligue 1,20,1998,25,1895,1,0,1,1,0,0.5,0.5,43,79,0.05,0.00,81,44,57.1,4,11,46,57,0,0,0,0,0,0,0,0,832,1096,75.9,5247,88.8,75.7,36.2,21,50,15,55,34,61.8,38.2,43,36,6,16,1,13,23.1,0.14,0.08,0.33,40.9,2.66,0.24,0,2018-2019
42,Lucas Alario,Argentina,FW,Leverkusen,Bundesliga,25,1992,27,1265,9,3,12,9,0,6.7,6.7,12,22,0.64,0.21,15,8,28.6,0,9,1,16,0,0,0,0,0,0,0,0,307,412,74.5,644,82.1,67.4,85.7,15,6,8,14,15,33.3,66.7,12,5,7,24,9,43,37.2,1.14,0.21,0.56,35.7,2.21,0.28,0,2018-2019
43,Jordi Alba,Spain,DF,Barcelona,La Liga,29,1989,36,2991,2,8,10,2,0,1.8,1.8,63,207,0.06,0.24,42,22,41.7,6,18,60,76,1,0,0,0,0,0,0,0,2279,2695,84.6,10768,92.1,84.0,58.5,47,140,57,95,22,72.7,27.3,63,59,20,23,2,13,30.8,0.12,0.15,0.50,30.2,2.53,0.39,0,2018-2019
44,Luis Alberto,Spain,MF,Lazio,Serie A,25,1992,27,1990,4,5,9,3,1,4.2,3.4,100,200,0.18,0.23,53,22,38.2,3,20,10,10,0,0,0,0,0,0,0,0,1115,1487,75.0,6331,89.7,79.1,47.1,76,136,54,11,41,58.5,41.5,100,112,13,43,4,67,17.9,0.54,0.04,0.25,40.0,6.97,0.45,0,2018-2019
45,Raúl Albiol,Spain,DF,Napoli,Serie A,32,1985,20,1713,1,0,1,1,0,0.3,0.3,4,81,0.05,0.00,16,8,53.3,16,3,20,90,1,0,0,0,0,0,0,0,1009,1131,89.2,7869,96.2,92.2,79.5,5,68,3,130,2,50.0,50.0,4,4,0,2,1,4,25.0,0.05,0.25,1.00,58.2,1.05,0.11,0,2018-2019
46,Miiko Albornoz,Chile,DF,Hannover 96,Bundesliga,27,1990,22,1660,1,3,4,1,0,0.3,0.3,34,71,0.05,0.16,46,26,46.7,3,20,16,37,1,0,0,0,0,0,0,0,715,966,74.0,4473,87.4,77.0,46.7,18,52,24,54,25,28.0,72.0,34,24,5,18,1,11,36.4,0.22,0.09,0.25,25.0,2.01,0.22,0,2018-2019
47,Marc Albrighton,England,FW,Leicester City,Premier League,28,1989,27,1625,2,2,4,2,0,1.2,1.2,54,64,0.11,0.11,35,22,41.9,3,23,23,30,0,0,0,0,0,0,0,0,448,776,57.7,2947,78.4,59.4,38.1,28,53,29,39,55,36.4,63.6,54,30,3,23,2,19,36.8,0.39,0.11,0.29,45.5,2.60,0.22,0,2018-2019
48,Paco Alcácer,Spain,FW,Dortmund,Bundesliga,24,1993,26,1211,18,0,18,17,1,9.5,8.8,12,17,1.34,0.00,3,1,0.0,0,5,6,7,0,0,0,0,0,0,0,0,213,290,73.4,456,80.8,65.0,55.6,15,13,7,6,8,75.0,25.0,12,9,9,13,18,51,51.0,1.93,0.33,0.65,26.7,2.97,0.52,0,2018-2019
49,Pedro Alcalá,Spain,DF,Girona,La Liga,29,1989,25,1868,1,1,2,1,0,1.0,1.0,13,47,0.05,0.05,32,23,65.2,18,3,36,120,0,0,0,0,0,0,0,0,686,869,78.9,5012,84.0,88.3,55.8,5,30,5,178,5,80.0,20.0,13,7,1,5,1,15,20.0,0.14,0.07,0.33,64.6,0.67,0.05,0,2018-2019
50,Thiago Alcántara,Spain,MF,Bayern Munich,Bundesliga,27,1991,30,2408,2,6,8,2,0,1.9,1.9,49,310,0.07,0.22,87,65,52.1,4,19,44,17,1,0,0,0,0,0,0,0,2325,2587,89.9,12086,93.7,93.9,78.3,38,266,26,39,67,85.1,14.9,49,60,4,28,2,23,30.4,0.26,0.09,0.29,47.2,3.66,0.34,0,2018-2019
51,Rubén Alcaraz,Spain,MF,Valladolid,La Liga,27,1991,34,2976,3,2,5,3,0,3.5,2.7,45,181,0.09,0.06,96,54,36.0,10,49,38,52,1,0,0,0,0,0,0,0,1438,1757,81.8,7859,92.2,88.7,63.2,20,172,2,93,30,76.7,23.3,45,33,3,40,3,51,21.6,0.33,0.06,0.27,42.6,1.87,0.15,0,2018-2019
52,Toby Alderweireld,Belgium,DF,Tottenham,Premier League,29,1989,34,2922,0,0,0,0,0,1.1,1.1,25,161,0.00,0.00,37,23,54.5,22,19,24,175,0,0,0,0,0,0,0,0,2097,2382,88.0,14391,94.4,93.6,70.4,7,161,24,270,2,50.0,50.0,25,25,0,0,0,19,26.3,0.15,0.00,0.00,53.5,1.05,0.06,0,2018-2019
53,Álex Alegría,Spain,FW,Rayo Vallecano,La Liga,25,1992,9,140,0,0,0,0,0,0.2,0.2,4,5,0.00,0.00,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,22,32,68.8,51,72.2,75.0,100.0,3,2,1,0,8,75.0,25.0,4,3,3,4,0,3,66.7,1.29,0.00,0.00,42.9,2.57,0.00,0,2018-2019
55,Iván Alejo,Spain,MF,Getafe,La Liga,23,1995,4,146,0,0,0,0,0,0.0,0.0,7,3,0.00,0.00,2,0,0.0,0,2,0,3,0,0,0,0,0,0,0,0,18,43,41.9,87,46.7,43.8,50.0,1,2,1,1,10,40.0,60.0,7,7,0,5,0,1,0.0,0.00,0.00,0,50.0,0.62,0.00,0,2018-2019
56,Carles Aleñá,Spain,MF,Barcelona,La Liga,20,1998,17,637,2,0,2,2,0,1.3,1.3,18,65,0.28,0.00,7,4,25.0,0,4,2,0,0,0,0,0,0,0,0,0,536,587,91.3,1908,94.4,95.4,78.2,9,58,6,2,18,66.7,33.3,18,25,3,14,2,14,21.4,0.42,0.14,0.67,55.6,3.82,0.71,0,2018-2019
57,Rúnar Alex Rúnarsson,Iceland,GK,Dijon,Ligue 1,23,1995,25,2250,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,2,0,33.3,0,0,1,7,2,43,1.72,56,58.6,5,20.0,0.0,623,871,71.5,15144,100.0,99.0,51.3,0,10,1,733,2,100.0,0.0,0,0,0,0,0,0,0,0.00,0,0,100.0,0.20,0.00,4.0,2018-2019
58,Alexander,Argentina,FW,Leganés,La Liga,29,1988,1,10,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,1,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,50.0,30,80.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,0,2018-2019
59,Trent Alexander-Arnold,England,DF,Liverpool,Premier League,19,1998,29,2462,1,12,13,1,0,1.6,1.6,70,157,0.04,0.44,61,39,52.9,3,16,35,68,0,0,0,0,0,0,0,0,1644,2236,73.5,10915,87.2,78.9,49.3,48,123,55,70,27,51.9,48.1,70,64,7,14,1,29,31.0,0.33,0.03,0.11,28.1,3.51,0.66,0,2018-2019
61,Rachid Alioui,Morocco,FW,Nîmes,Ligue 1,26,1992,27,1252,5,0,5,5,0,5.4,5.4,24,22,0.36,0.00,15,5,44.4,1,7,10,11,0,0,0,0,0,0,0,0,266,383,69.5,668,78.8,64.3,40.7,20,20,14,8,12,58.3,41.7,24,25,4,12,5,52,38.5,1.44,0.10,0.25,38.5,2.95,0.07,0,2018-2019
62,Alisson,Brazil,GK,Liverpool,Premier League,25,1992,38,3420,0,0,0,0,0,0.0,0.0,1,0,0.00,0.00,2,1,100.0,0,0,1,14,6,22,0.58,74,77.1,21,55.3,0,1075,1290,83.3,18517,96.6,99.5,60.2,0,5,1,1118,2,100.0,0.0,1,1,0,1,0,0,0,0.00,0,0,91.7,0.11,0.03,4.2,2018-2019
63,Bobby Allain,France,GK,Dijon,Ligue 1,26,1991,13,1170,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0.0,0,1,0,16,1,17,1.31,56,77.8,1,7.7,0.0,292,458,63.8,9840,100.0,94.7,51.5,0,17,1,427,0,0,0,0,0,0,0,0,0,0,0.00,0,0,75.0,0.15,0.00,9.1,2018-2019
64,Allan,Brazil,MF,Napoli,Serie A,27,1991,33,2616,1,3,4,1,0,1.0,1.0,49,236,0.03,0.10,106,70,33.6,13,42,36,28,0,0,0,0,0,0,0,0,1979,2231,88.7,9338,93.5,92.2,78.2,34,255,30,70,64,64.1,35.9,49,66,14,42,1,25,8.0,0.07,0.04,0.50,44.8,3.03,0.34,0,2018-2019
65,Allan,Brazil,MF,Eint Frankfurt,Bundesliga,21,1997,4,176,0,0,0,0,0,0.1,0.1,4,4,0.00,0.00,4,4,0.0,2,2,0,1,0,0,0,0,0,0,0,0,42,64,65.6,226,55.2,73.9,85.7,1,11,1,1,1,100.0,0.0,4,4,1,1,0,2,0.0,0.00,0.00,0,25.0,3.58,0.00,0,2018-2019
66,Dele Alli,England,MF,Tottenham,Premier League,22,1996,25,1825,5,3,8,5,0,4.8,4.8,48,111,0.25,0.15,33,19,20.8,5,28,19,20,0,0,0,0,0,0,0,0,836,1056,79.2,2868,87.8,81.5,52.4,27,67,29,32,54,53.7,46.3,48,39,14,29,5,39,48.7,0.94,0.13,0.26,50.0,3.16,0.25,0,2018-2019
67,Miguel Almirón,Paraguay,MF,Newcastle Utd,Premier League,24,1994,10,759,0,0,0,0,0,1.5,1.5,31,25,0.00,0.00,20,12,40.0,1,13,8,5,0,0,0,0,0,0,0,0,188,263,71.5,752,78.4,73.0,75.0,13,21,12,7,14,50.0,50.0,31,16,6,6,0,19,42.1,0.95,0.00,0.00,10.0,4.27,0.36,0,2018-2019
68,Júnior Alonso,Paraguay,DF,Celta Vigo,La Liga,25,1993,9,536,0,0,0,0,0,0.4,0.4,6,21,0.00,0.00,13,9,58.3,3,5,5,24,1,0,0,0,0,0,0,0,233,319,73.0,1525,89.8,74.3,39.6,5,14,2,24,4,25.0,75.0,6,10,0,3,0,4,50.0,0.34,0.00,0.00,72.0,1.01,0.00,0,2018-2019
69,Marcos Alonso,Spain,DF,Chelsea,Premier League,27,1990,31,2759,2,4,6,2,0,3.4,3.4,102,146,0.07,0.13,73,46,56.9,2,23,39,101,0,0,0,0,0,0,0,0,1862,2255,82.6,7841,91.6,79.5,45.2,33,102,21,109,33,51.5,45.5,102,81,7,28,2,45,15.6,0.23,0.04,0.29,55.0,2.15,0.33,0,2018-2019
70,Mickaël Alphonse,gp GLP,DF,Dijon,Ligue 1,29,1989,11,571,1,0,1,1,0,0.3,0.3,21,18,0.16,0.00,10,5,75.0,1,2,9,30,0,0,0,0,0,0,0,0,185,301,61.5,1145,81.1,66.1,22.2,8,13,4,23,6,66.7,33.3,21,13,2,3,1,3,33.3,0.16,0.33,1.00,82.4,2.52,0.00,0,2018-2019
