rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
466,Koen Casteels,Belgium,GK,Wolfsburg,Bundesliga,27,1992,26,2340,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0,0,0,0,9,1,38,1.46,67,67.6,5,19.2,0.0,721,979,73.6,15598,100.0,99.4,54.6,1,14,0,807,1,100.0,0.0,0,0,0,0,0,0,0,0.00,0,0,83.3,0.23,0.00,5.1,2019-2020
467,Jean-Charles Castelletto,Cameroon,DF,Brest,Ligue 1,24,1995,22,1838,1,0,1,1,0,0.5,0.5,8,66,0.05,0.00,18,9,50.0,16,4,33,87,1,0,0,0,0,0,0,0,856,1013,84.5,6575,86.5,90.4,64.2,4,43,5,180,10,100.0,0.0,8,9,1,5,1,3,33.3,0.05,0.33,1.00,59.6,0.49,0.00,0,2019-2020
468,Samu Castillejo,Spain,FW,Milan,Serie A,24,1995,22,1209,2,3,5,2,0,4.1,4.1,48,45,0.15,0.22,24,15,21.4,2,15,24,5,0,0,0,0,0,0,0,0,409,558,73.3,1744,87.2,77.6,42.5,43,28,23,7,38,52.6,47.4,48,43,16,20,2,31,25.8,0.60,0.06,0.25,31.1,5.06,0.52,0,2019-2020
469,Jonny Castro,Spain,MF,Wolves,Premier League,25,1994,35,2887,2,2,4,2,0,1.6,1.6,100,97,0.06,0.06,91,55,35.4,10,35,53,45,2,0,0,0,0,0,0,0,1177,1451,81.1,5071,90.2,78.2,55.9,23,47,16,68,71,45.1,54.9,100,62,20,36,2,18,27.8,0.16,0.11,0.40,41.2,2.00,0.22,0,2019-2020
470,Lucas Castro,Argentina,MF,SPAL,Serie A,30,1989,7,425,0,0,0,0,0,0.5,0.5,6,31,0.00,0.00,13,5,50.0,0,4,2,3,0,0,0,0,0,0,0,0,161,211,76.3,749,84.0,75.8,66.7,7,19,4,3,10,50.0,50.0,6,7,1,6,0,10,20.0,0.42,0.00,0.00,66.7,3.39,0.21,0,2019-2020
471,Lucas Castro,Argentina,MF,Cagliari,Serie A,30,1989,15,606,2,0,2,2,0,0.9,0.9,12,31,0.30,0.00,7,3,8.3,1,5,8,14,0,0,0,0,0,0,0,0,210,290,72.4,1062,88.1,81.3,28.6,9,17,6,18,9,44.4,55.6,12,8,0,12,2,14,21.4,0.45,0.14,0.67,42.9,2.38,0.15,0,2019-2020
472,Gaetano Castrovilli,Italy,MF,Fiorentina,Serie A,22,1997,33,2673,3,2,5,3,0,3.5,3.5,142,144,0.10,0.07,59,31,34.0,2,27,15,31,1,0,0,0,0,0,0,0,886,1124,78.8,3981,87.7,80.2,65.5,36,109,32,40,131,71.0,29.0,142,86,25,64,3,49,22.4,0.37,0.06,0.27,33.3,3.80,0.27,0,2019-2020
473,Danilo Cataldi,Italy,MF,Lazio,Serie A,24,1994,21,592,1,0,1,1,0,0.5,0.5,12,58,0.15,0.00,17,11,50.0,1,6,13,10,0,0,0,0,0,0,0,0,370,447,82.8,2689,92.0,85.6,60.9,12,52,6,26,2,100.0,0.0,12,10,1,2,1,9,11.1,0.15,0.11,1.00,57.1,4.71,0.30,0,2019-2020
474,Craig Cathcart,Northern Ireland,DF,Watford,Premier League,30,1989,29,2488,0,0,0,0,0,0.2,0.2,2,61,0.00,0.00,41,26,41.7,16,3,25,136,1,0,0,0,0,0,0,0,742,922,80.5,4884,88.2,86.5,54.1,2,33,3,156,7,57.1,42.9,2,3,1,3,0,2,50.0,0.04,0.00,0.00,56.3,0.33,0.04,0,2019-2020
475,Edinson Cavani,Uruguay,FW,Paris S-G,Ligue 1,32,1987,14,605,4,1,5,3,1,8.7,7.9,3,13,0.60,0.15,5,1,0.0,0,7,1,2,0,0,0,0,0,0,0,0,114,136,83.8,254,87.5,84.4,54.5,10,4,7,4,8,87.5,12.5,3,1,1,2,4,27,37.0,1.49,0.11,0.30,36.4,3.28,0.30,0,2019-2020
