Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
226,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,es La Liga,28.0,1996.0,12,10,811,9.0,0,1,1,0,0,0,1,0,0.8,0.8,1.8,2.6,31,30,71,0.0,0.11,0.11,0.0,0.11,0.09,0.2,0.29,0.09,0.29
227,Mohamed Bamba,ci CIV,MF,Reims,fr Ligue 1,19.0,2004.0,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,Samuel Bamba,de GER,"FW,MF",Bochum,de Bundesliga,20.0,2004.0,5,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,5,8,0.0,0.0,0.0,0.0,0.0,0.35,0.1,0.45,0.35,0.45
229,Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,23.0,2001.0,15,6,610,6.8,0,1,1,0,0,0,1,0,1.2,1.2,1.1,2.3,27,7,46,0.0,0.15,0.15,0.0,0.15,0.18,0.16,0.34,0.18,0.34
230,Daniel Bandeira,pt POR,MF,Hellas Verona,it Serie A,24.0,2000.0,11,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,25,4,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
231,Mattia Bani,it ITA,DF,Genoa,it Serie A,30.0,1993.0,20,19,1507,16.7,0,0,0,0,0,0,3,0,1.2,1.2,0.2,1.4,6,25,3,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08
232,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,17.0,2006.0,8,2,278,3.1,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,8,3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02
233,Scott Banks,sct SCO,"FW,MF",St. Pauli,de Bundesliga,22.0,2001.0,12,0,116,1.3,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3,1,8,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22
234,Adrian Baquerin,es ESP,FW,Valladolid,es La Liga,17.0,2007.0,5,0,49,0.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,1,0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.71,0.71,0.71
235,Antonín Barák,cz CZE,MF,Fiorentina,it Serie A,29.0,1994.0,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.0,0.0,0.0,0.0,0.0,0.13,0.47,0.6,0.13,0.6
236,Federico Barba,it ITA,DF,Como,it Serie A,30.0,1993.0,7,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,25,5,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
237,Valentín Barco,ar ARG,"DF,FW",Sevilla,es La Liga,20.0,2004.0,7,3,288,3.2,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,4,13,13,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.28,0.09,0.28
238,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,20.0,2004.0,14,14,1157,12.9,0,2,2,0,0,0,2,0,0.5,0.5,1.5,2.0,20,64,55,0.0,0.16,0.16,0.0,0.16,0.04,0.11,0.15,0.04,0.15
239,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,21.0,2002.0,34,27,2181,24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97
240,Melvin Bard,fr FRA,"DF,MF",Nice,fr Ligue 1,23.0,2000.0,24,22,1938,21.5,2,1,3,2,0,0,4,2,2.2,2.2,1.9,4.1,53,88,95,0.09,0.05,0.14,0.09,0.14,0.1,0.09,0.19,0.1,0.19
241,Nicolò Barella,it ITA,MF,Inter,it Serie A,27.0,1997.0,33,29,2493,27.7,3,6,9,3,0,0,4,0,2.2,2.2,4.5,6.7,63,235,133,0.11,0.22,0.32,0.11,0.32,0.08,0.16,0.24,0.08,0.24
242,Gabriel Bares,ch SUI,"MF,DF",Montpellier,fr Ligue 1,23.0,2000.0,6,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,Borna Barišić,hr CRO,DF,Leganés,es La Liga,31.0,1992.0,1,1,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
