Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
616,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,28.0,1996.0,38,30,2667,29.6,1,0,1,1,0,0,3,0,0.8,0.8,0.9,1.7,21,93,49,0.03,0.0,0.03,0.03,0.03,0.03,0.03,0.06,0.03,0.06
617,Lasso Coulibaly,ci CIV,"FW,MF",Auxerre,fr Ligue 1,21.0,2002.0,3,0,45,0.5,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.3,0,0,4,2.0,0.0,2.0,2.0,2.0,0.56,0.13,0.69,0.56,0.69
618,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,20.0,2004.0,1,0,8,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.85,0.85,0.85
619,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,20.0,2003.0,7,5,438,4.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,16,0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
620,Tanguy Coulibaly,fr FRA,"FW,MF",Montpellier,fr Ligue 1,23.0,2001.0,25,17,1485,16.5,3,0,3,3,0,0,4,2,3.5,3.5,1.3,4.8,48,20,97,0.18,0.0,0.18,0.18,0.18,0.22,0.08,0.31,0.22,0.31
621,Woyo Coulibaly,fr FRA,DF,Leicester City,eng Premier League,25.0,1999.0,4,1,109,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,3,2,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
622,Woyo Coulibaly,fr FRA,DF,Parma,it Serie A,25.0,1999.0,14,12,1084,12.0,0,1,1,0,0,0,1,1,0.1,0.1,0.9,1.1,36,41,23,0.0,0.08,0.08,0.0,0.08,0.01,0.08,0.09,0.01,0.09
623,Marius Courcoul,fr FRA,"MF,DF",Angers,fr Ligue 1,17.0,2007.0,8,3,309,3.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,5,7,7,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
624,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,32.0,1992.0,30,30,2700,30.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,Yan Couto,br BRA,"DF,FW",Dortmund,de Bundesliga,22.0,2002.0,21,8,895,9.9,0,0,0,0,0,0,5,0,0.3,0.3,0.9,1.2,46,68,83,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.12,0.03,0.12
626,Nicolas Cozza,fr FRA,"DF,MF",Nantes,fr Ligue 1,25.0,1999.0,27,23,2051,22.8,1,0,1,1,0,0,3,1,1.4,1.4,1.4,2.8,25,64,56,0.04,0.0,0.04,0.04,0.04,0.06,0.06,0.12,0.06,0.12
627,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,34.0,1989.0,18,10,824,9.2,0,0,0,0,0,0,3,0,0.2,0.2,1.3,1.6,6,36,4,0.0,0.0,0.0,0.0,0.0,0.03,0.15,0.17,0.03,0.17
628,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,21.0,2002.0,31,29,2592,28.8,3,1,4,3,0,0,5,0,3.3,3.3,1.7,5.0,8,69,13,0.1,0.03,0.14,0.1,0.14,0.11,0.06,0.17,0.11,0.17
629,Bryan Cristante,it ITA,MF,Roma,it Serie A,29.0,1995.0,30,23,2045,22.7,4,2,6,4,0,0,8,0,2.1,2.1,1.4,3.5,25,145,41,0.18,0.09,0.26,0.18,0.26,0.09,0.06,0.15,0.09,0.15
630,Domen Črnigoj,si SVN,MF,Venezia,it Serie A,28.0,1995.0,8,1,136,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,4,6,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
631,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,32.0,1992.0,25,19,1492,16.6,0,0,0,0,0,0,4,0,0.1,0.1,0.0,0.2,9,53,12,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
632,Juan Cruz,es ESP,"FW,MF",Leganés,es La Liga,24.0,2000.0,34,26,2257,25.1,5,4,9,5,0,0,2,0,2.7,2.7,4.1,6.9,59,66,131,0.2,0.16,0.36,0.2,0.36,0.11,0.17,0.27,0.11,0.27
633,Juan Cuadrado,co COL,"DF,MF",Atalanta,it Serie A,36.0,1988.0,23,7,832,9.2,0,2,2,0,0,0,3,0,0.9,0.9,2.0,2.9,41,64,90,0.0,0.22,0.22,0.0,0.22,0.1,0.22,0.31,0.1,0.31
634,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,17.0,2007.0,35,29,2618,29.1,0,3,3,0,0,0,3,0,0.8,0.8,1.6,2.5,26,191,6,0.0,0.1,0.1,0.0,0.1,0.03,0.06,0.08,0.03,0.08
635,Cucho,co COL,FW,Betis,es La Liga,25.0,1999.0,15,14,1139,12.7,5,1,6,5,0,0,0,0,3.8,3.8,1.5,5.3,27,34,82,0.4,0.08,0.47,0.4,0.47,0.3,0.12,0.42,0.3,0.42
636,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,26.0,1998.0,36,33,2988,33.2,5,1,6,5,0,0,10,1,2.8,2.8,2.1,4.9,35,118,117,0.15,0.03,0.18,0.15,0.18,0.08,0.06,0.15,0.08,0.15
637,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,24.0,1999.0,8,4,351,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
638,Matheus Cunha,br BRA,"MF,FW",Wolves,eng Premier League,25.0,1999.0,33,29,2597,28.9,15,6,21,15,0,0,4,0,8.6,8.6,7.7,16.4,112,144,161,0.52,0.21,0.73,0.52,0.73,0.3,0.27,0.57,0.3,0.57
639,Patrick Cutrone,it ITA,FW,Como,it Serie A,26.0,1998.0,33,23,2047,22.7,7,4,11,7,0,1,1,0,7.1,6.3,2.1,8.4,53,31,155,0.31,0.18,0.48,0.31,0.48,0.31,0.09,0.41,0.28,0.37
640,Tomáš Čvančara,cz CZE,FW,Gladbach,de Bundesliga,23.0,2000.0,28,7,831,9.2,2,0,2,2,0,0,5,1,3.8,3.8,0.9,4.7,15,23,50,0.22,0.0,0.22,0.22,0.22,0.41,0.1,0.51,0.41,0.51
641,Wylan Cyprien,fr FRA,MF,Parma,it Serie A,29.0,1995.0,2,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.63,0.63,0.63
642,Danilo D'Ambrosio,it ITA,DF,Monza,it Serie A,35.0,1988.0,20,12,1095,12.2,0,1,1,0,0,0,2,1,0.5,0.5,0.4,0.9,10,34,16,0.0,0.08,0.08,0.0,0.08,0.04,0.03,0.08,0.04,0.08
643,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,23.0,2001.0,36,30,2613,29.0,3,2,5,3,0,0,4,0,2.0,2.0,3.8,5.8,63,154,85,0.1,0.07,0.17,0.1,0.17,0.07,0.13,0.2,0.07,0.2
644,Samuel Dahl,se SWE,"DF,MF",Roma,it Serie A,24.0,2000.0,2,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,26.0,1998.0,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,Thomas Dähne,de GER,GK,Holstein Kiel,de Bundesliga,30.0,1994.0,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,28.0,1996.0,9,3,364,4.0,1,1,2,1,0,0,2,0,0.5,0.5,0.7,1.2,1,17,6,0.25,0.25,0.49,0.25,0.49,0.13,0.18,0.31,0.13,0.31
648,Patson Daka,zm ZAM,"FW,MF",Leicester City,eng Premier League,25.0,1998.0,23,6,736,8.2,1,0,1,1,0,0,0,0,1.3,1.3,0.1,1.3,11,8,36,0.12,0.0,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
649,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,22.0,2002.0,7,6,432,4.8,0,0,0,0,0,0,0,1,0.1,0.1,0.2,0.2,1,12,0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
650,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,23.0,2000.0,31,11,1154,12.8,3,2,5,3,0,0,1,0,4.3,4.3,0.6,4.9,9,17,84,0.23,0.16,0.39,0.23,0.39,0.33,0.05,0.38,0.33,0.38
651,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,25.0,1999.0,33,31,2814,31.3,0,3,3,0,0,0,5,0,2.0,2.0,2.0,4.1,62,103,168,0.0,0.1,0.1,0.0,0.1,0.07,0.07,0.13,0.07,0.13
652,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,eng Premier League,24.0,2000.0,38,34,2911,32.3,2,10,12,2,0,0,2,0,2.8,2.8,8.4,11.2,73,234,137,0.06,0.31,0.37,0.06,0.37,0.09,0.26,0.35,0.09,0.35
653,Maat Daniel Caprini,it ITA,FW,Fiorentina,it Serie A,18.0,2006.0,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,Flavius Daniliuc,at AUT,DF,Hellas Verona,it Serie A,23.0,2001.0,18,9,1004,11.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,38,8,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02
655,Danilo,br BRA,"MF,FW",Nott'ham Forest,eng Premier League,23.0,2001.0,8,5,275,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,Danilo,br BRA,DF,Juventus,it Serie A,33.0,1991.0,12,6,581,6.5,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,16,45,7,0.0,0.15,0.15,0.0,0.15,0.02,0.06,0.08,0.02,0.08
657,Arnaut Danjuma,nl NED,FW,Villarreal,es La Liga,27.0,1997.0,3,3,200,2.2,2,0,2,2,0,0,1,0,0.8,0.8,0.0,0.8,4,1,17,0.9,0.0,0.9,0.9,0.9,0.37,0.01,0.38,0.37,0.38
658,Arnaut Danjuma,nl NED,"FW,MF",Girona,es La Liga,27.0,1997.0,25,15,1335,14.8,2,0,2,2,0,0,2,0,3.6,3.6,1.7,5.3,91,41,185,0.13,0.0,0.13,0.13,0.13,0.24,0.11,0.35,0.24,0.35
659,Jayden Danns,eng ENG,MF,Liverpool,eng Premier League,18.0,2006.0,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,20.0,2004.0,22,16,1460,16.2,0,0,0,0,0,0,1,0,1.5,1.5,2.2,3.7,19,95,50,0.0,0.0,0.0,0.0,0.0,0.09,0.13,0.23,0.09,0.23
661,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,25.0,1998.0,10,9,842,9.4,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,11,19,1,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
662,Kevin Danso,at AUT,DF,Lens,fr Ligue 1,25.0,1998.0,12,12,1080,12.0,0,0,0,0,0,0,3,0,0.5,0.5,1.0,1.5,9,52,1,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.04,0.13
663,Dante,br BRA,DF,Nice,fr Ligue 1,40.0,1983.0,25,21,1964,21.8,0,0,0,0,0,0,5,1,0.5,0.5,0.2,0.6,18,96,8,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
664,Pape Daouda Diongue,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,,,9,1,78,0.9,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,2,2,3,1.15,0.0,1.15,1.15,1.15,1.18,0.23,1.41,1.18,1.41
665,Mohamed Daramy,dk DEN,FW,Reims,fr Ligue 1,22.0,2002.0,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,0,2,0.0,0.0,0.0,0.0,0.0,0.2,0.32,0.51,0.2,0.51
666,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,18.0,2006.0,21,16,1304,14.5,1,1,2,1,0,0,0,0,1.0,1.0,1.0,2.1,5,39,24,0.07,0.07,0.14,0.07,0.14,0.07,0.07,0.14,0.07,0.14
667,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,30.0,1993.0,38,34,2744,30.5,2,6,8,2,0,0,4,0,2.1,2.1,3.7,5.8,37,142,83,0.07,0.2,0.26,0.07,0.26,0.07,0.12,0.19,0.07,0.19
668,Matteo Darmian,it ITA,DF,Inter,it Serie A,34.0,1989.0,29,20,1781,19.8,3,2,5,3,0,0,3,0,1.9,1.9,1.5,3.5,14,45,102,0.15,0.1,0.25,0.15,0.25,0.1,0.08,0.18,0.1,0.18
669,Lukas Daschner,de GER,"MF,FW",Bochum,de Bundesliga,25.0,1998.0,14,3,412,4.6,1,1,2,1,0,1,0,0,2.7,1.9,0.7,2.6,8,11,19,0.22,0.22,0.44,0.22,0.44,0.6,0.15,0.74,0.42,0.57
670,Juan David Cabal,co COL,DF,Juventus,it Serie A,23.0,2001.0,7,6,460,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,14,17,19,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
671,Jonathan David,ca CAN,FW,Lille,fr Ligue 1,24.0,2000.0,32,28,2554,28.4,16,5,21,10,6,7,4,0,16.2,10.7,4.4,15.1,40,65,184,0.56,0.18,0.74,0.35,0.53,0.57,0.16,0.73,0.38,0.53
672,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,23.0,2000.0,19,17,1560,17.3,1,2,3,1,0,0,0,0,1.2,1.2,1.6,2.8,81,120,140,0.06,0.12,0.17,0.06,0.17,0.07,0.09,0.16,0.07,0.16
673,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,31.0,1993.0,17,14,1331,14.8,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,14,52,6,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03
674,Keinan Davis,eng ENG,FW,Udinese,it Serie A,26.0,1998.0,23,10,1066,11.8,2,1,3,2,0,0,2,0,2.9,2.9,2.1,5.0,26,22,77,0.17,0.08,0.25,0.17,0.25,0.24,0.18,0.42,0.24,0.42
675,Leif Davis,eng ENG,DF,Ipswich Town,eng Premier League,24.0,2000.0,33,32,2743,30.5,1,2,3,1,0,0,5,1,1.0,1.0,4.9,5.8,52,59,137,0.03,0.07,0.1,0.03,0.1,0.03,0.16,0.19,0.03,0.19
676,Zuriko Davitashvili,ge GEO,"FW,MF",Saint-Étienne,fr Ligue 1,23.0,2001.0,33,32,2778,30.9,9,8,17,7,2,2,3,0,8.1,6.6,4.7,11.3,95,73,224,0.29,0.26,0.55,0.23,0.49,0.27,0.16,0.43,0.22,0.38
677,Paweł Dawidowicz,pl POL,"DF,MF",Hellas Verona,it Serie A,29.0,1995.0,26,24,1845,20.5,0,0,0,0,0,0,7,1,0.3,0.3,0.0,0.3,10,39,3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
678,Craig Dawson,eng ENG,DF,Wolves,eng Premier League,34.0,1990.0,15,10,971,10.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.5,6,20,5,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
679,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,eng Premier League,33.0,1991.0,28,19,1702,18.9,4,7,11,4,0,0,2,0,5.1,5.1,8.0,13.1,51,157,150,0.21,0.37,0.58,0.21,0.58,0.27,0.42,0.69,0.27,0.69
680,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,eng Premier League,31.0,1993.0,23,9,744,8.3,1,2,3,1,0,0,2,0,0.8,0.8,1.2,2.0,14,15,48,0.12,0.24,0.36,0.12,0.36,0.1,0.15,0.24,0.1,0.24
681,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,23.0,2001.0,36,25,2070,23.0,7,7,14,7,0,0,1,0,7.3,7.3,6.0,13.2,108,140,211,0.3,0.3,0.61,0.3,0.61,0.32,0.26,0.57,0.32,0.57
682,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,es La Liga,30.0,1994.0,34,23,2106,23.4,3,5,8,3,0,0,7,0,1.3,1.3,5.6,6.9,85,231,64,0.13,0.21,0.34,0.13,0.34,0.06,0.24,0.29,0.06,0.29
683,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,23.0,2001.0,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
684,Mattia De Sciglio,it ITA,DF,Empoli,it Serie A,31.0,1992.0,16,7,769,8.5,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,4,18,7,0.12,0.0,0.12,0.12,0.12,0.07,0.02,0.09,0.07,0.09
685,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,36.0,1988.0,18,13,1060,11.8,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,4,46,30,0.08,0.0,0.08,0.08,0.08,0.07,0.02,0.09,0.07,0.09
686,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,26.0,1998.0,5,2,192,2.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,9,2,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
687,Koni De Winter,be BEL,DF,Genoa,it Serie A,22.0,2002.0,25,23,2135,23.7,3,0,3,3,0,0,6,0,2.1,2.1,0.2,2.3,10,56,10,0.13,0.0,0.13,0.13,0.13,0.09,0.01,0.1,0.09,0.1
688,Amar Dedić,ba BIH,DF,Marseille,fr Ligue 1,21.0,2002.0,10,2,314,3.5,0,1,1,0,0,0,1,0,0.9,0.9,0.9,1.8,21,16,46,0.0,0.29,0.29,0.0,0.29,0.26,0.25,0.51,0.26,0.51
689,Alessandro Deiola,it ITA,MF,Cagliari,it Serie A,28.0,1995.0,29,16,1432,15.9,2,1,3,2,0,0,6,0,1.7,1.7,0.6,2.4,11,40,36,0.13,0.06,0.19,0.13,0.19,0.11,0.04,0.15,0.11,0.15
690,Romain Del Castillo,fr FRA,FW,Brest,fr Ligue 1,28.0,1996.0,26,14,1259,14.0,6,4,10,3,3,4,0,0,4.7,1.5,3.4,4.9,29,61,106,0.43,0.29,0.71,0.21,0.5,0.33,0.24,0.58,0.11,0.35
691,Enrico Del Prato,it ITA,DF,Parma,it Serie A,24.0,1999.0,34,32,2947,32.7,4,0,4,4,0,0,8,0,2.0,2.0,1.2,3.2,8,81,31,0.12,0.0,0.12,0.12,0.12,0.06,0.04,0.1,0.06,0.1
692,Thomas Delaine,fr FRA,DF,Strasbourg,fr Ligue 1,32.0,1992.0,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,Liam Delap,eng ENG,FW,Ipswich Town,eng Premier League,21.0,2003.0,37,32,2593,28.8,12,2,14,10,2,2,11,0,9.3,7.8,1.9,9.7,61,30,110,0.42,0.07,0.49,0.35,0.42,0.32,0.07,0.39,0.27,0.34
694,Fisayo Dele-Bashiru,ng NGA,"MF,FW",Lazio,it Serie A,23.0,2001.0,20,12,947,10.5,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,23,26,57,0.29,0.1,0.38,0.29,0.38,0.1,0.08,0.18,0.1,0.18
695,Andy Delort,dz ALG,FW,Montpellier,fr Ligue 1,32.0,1991.0,9,8,607,6.7,0,0,0,0,0,0,1,0,1.3,1.3,0.9,2.2,4,6,20,0.0,0.0,0.0,0.0,0.0,0.23,0.15,0.38,0.23,0.38
696,Olivier Deman,be BEL,DF,Werder Bremen,de Bundesliga,24.0,2000.0,9,0,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.15
697,Ali Dembélé,fr FRA,DF,Torino,it Serie A,20.0,2004.0,15,4,388,4.3,1,0,1,1,0,0,4,1,0.4,0.4,0.1,0.5,8,12,8,0.23,0.0,0.23,0.23,0.23,0.08,0.02,0.1,0.08,0.1
698,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,27.0,1997.0,29,20,1730,19.2,21,6,27,20,1,1,1,0,16.6,15.8,8.2,24.0,127,137,252,1.09,0.31,1.4,1.04,1.35,0.86,0.43,1.29,0.82,1.25
699,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,26.0,1998.0,34,20,1855,20.6,15,1,16,15,0,2,2,0,14.1,12.4,1.9,14.3,20,31,115,0.73,0.05,0.78,0.73,0.78,0.69,0.09,0.78,0.6,0.7
700,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,22.0,2001.0,31,29,2586,28.7,0,0,0,0,0,0,3,0,2.0,2.0,0.8,2.8,12,79,28,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1
701,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,28.0,1996.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,Arthur Desmas,fr FRA,GK,Le Havre,fr Ligue 1,30.0,1994.0,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,Justin Devenny,nir NIR,MF,Crystal Palace,eng Premier League,20.0,2003.0,23,4,507,5.6,1,1,2,1,0,0,1,0,0.8,0.8,0.6,1.4,5,21,13,0.18,0.18,0.36,0.18,0.36,0.14,0.11,0.25,0.14,0.25
704,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",Chelsea,eng Premier League,25.0,1998.0,13,2,264,2.9,0,1,1,0,0,0,0,0,0.2,0.2,1.1,1.3,5,14,11,0.0,0.34,0.34,0.0,0.34,0.08,0.36,0.44,0.08,0.44
705,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,27.0,1997.0,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
706,Giovanni Di Lorenzo,it ITA,DF,Napoli,it Serie A,30.0,1993.0,37,37,3330,37.0,3,2,5,3,0,0,6,0,2.8,2.8,3.9,6.7,50,224,163,0.08,0.05,0.14,0.08,0.14,0.08,0.1,0.18,0.08,0.18
707,Boulaye Dia,sn SEN,"MF,FW",Lazio,it Serie A,27.0,1996.0,35,27,2177,24.2,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114,0.37,0.12,0.5,0.37,0.5,0.29,0.17,0.47,0.29,0.47
708,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,27.0,1996.0,13,7,653,7.3,2,0,2,2,0,0,0,0,1.5,1.5,0.0,1.5,5,14,2,0.28,0.0,0.28,0.28,0.28,0.2,0.0,0.21,0.2,0.21
709,Mamadou Diakhon,fr FRA,"FW,MF",Reims,fr Ligue 1,18.0,2005.0,28,5,858,9.5,2,1,3,2,0,0,2,0,1.0,1.0,1.1,2.2,61,17,77,0.21,0.1,0.31,0.21,0.31,0.11,0.12,0.23,0.11,0.23
710,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,23.0,2001.0,31,31,2766,30.7,4,1,5,4,0,0,8,1,2.3,2.3,0.2,2.5,15,90,3,0.13,0.03,0.16,0.13,0.16,0.08,0.01,0.08,0.08,0.08
711,Oumar Diakité,ci CIV,FW,Reims,fr Ligue 1,20.0,2003.0,26,20,1628,18.1,4,1,5,4,0,1,6,0,5.5,4.7,1.1,5.8,24,44,93,0.22,0.06,0.28,0.22,0.28,0.3,0.06,0.36,0.26,0.32
712,Amad Diallo,ci CIV,"MF,FW",Manchester Utd,eng Premier League,22.0,2002.0,26,20,1901,21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.38,0.28,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45
713,Assane Diao,sn SEN,"FW,MF",Como,it Serie A,18.0,2005.0,15,14,1252,13.9,8,1,9,8,0,0,2,0,4.0,4.0,0.4,4.4,50,36,116,0.58,0.07,0.65,0.58,0.65,0.29,0.03,0.31,0.29,0.31
714,Assane Diao,sn SEN,FW,Betis,es La Liga,18.0,2005.0,10,2,277,3.1,1,2,3,1,0,0,0,0,0.8,0.8,1.5,2.3,9,1,27,0.32,0.65,0.97,0.32,0.97,0.26,0.5,0.75,0.26,0.75
715,Habib Diarra,sn SEN,"MF,FW",Strasbourg,fr Ligue 1,20.0,2004.0,30,27,2352,26.1,4,5,9,2,2,2,6,0,3.3,1.8,4.5,6.3,61,116,114,0.15,0.19,0.34,0.08,0.27,0.13,0.17,0.3,0.07,0.24
716,Moussa Diarra,ml MLI,DF,Alavés,es La Liga,23.0,2000.0,26,20,1866,20.7,0,0,0,0,0,0,6,0,0.0,0.0,0.1,0.2,12,70,31,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
717,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,27.0,1997.0,27,25,2271,25.2,0,0,0,0,0,0,4,0,1.5,1.5,0.3,1.8,43,160,8,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07
718,Krépin Diatta,sn SEN,"DF,FW",Monaco,fr Ligue 1,25.0,1999.0,19,3,508,5.6,0,0,0,0,0,0,3,0,0.2,0.2,0.8,1.0,17,21,41,0.0,0.0,0.0,0.0,0.0,0.03,0.14,0.17,0.03,0.17
719,Kandet Diawara,gn GUI,FW,Le Havre,fr Ligue 1,24.0,2000.0,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
