player_season_id,player_id,player_name,club_id,club_name,season_id,season_label,primary_position,appearances,starts,minutes_played,goals,assists,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,successful_dribbles,xg,xa,tackles,interceptions,clearances,aerial_duels_won,yellow_cards,red_cards,clean_sheets,team_goals_scored,team_goals_conceded,league_name,final_table_rank,team_points,team_wins,team_draws,team_losses
diego-godin-cagliari-2021-2022,diego-godin,Diego Godin,cagliari,Cagliari,2021-2022,2021/22,DF,11,9,818,0,1,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,34,68,Serie A,18,30,6,12,20
edoardo-goldaniga-cagliari-2021-2022,edoardo-goldaniga,Edoardo Goldaniga,cagliari,Cagliari,2021-2022,2021/22,DF,11,11,934,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,34,68,Serie A,18,30,6,12,20
cedric-gondo-salernitana-2021-2022,cedric-gondo,Cedric Gondo,salernitana,Salernitana,2021-2022,2021/22,FW,14,10,699,1,0,19,8,0,0,0,0,0,0,0,0,0,0,1,0,0,33,78,Serie A,17,31,7,10,21
nicolas-gonzalez-fiorentina-2021-2022,nicolas-gonzalez,Nicolas Gonzalez,fiorentina,Fiorentina,2021-2022,2021/22,FW,33,26,2357,7,6,72,22,0,0,0,0,0,0,0,0,0,0,4,1,0,59,51,Serie A,7,62,19,5,14
robin-gosens-atalanta-2021-2022,robin-gosens,Robin Gosens,atalanta,Atalanta,2021-2022,2021/22,MF,6,5,460,1,0,14,4,0,0,0,0,0,0,0,0,0,0,2,0,0,65,48,Serie A,8,59,16,11,11
alberto-grassi-cagliari-2021-2022,alberto-grassi,Alberto Grassi,cagliari,Cagliari,2021-2022,2021/22,MF,30,26,2174,0,1,24,2,0,0,0,0,0,0,0,0,0,0,6,1,0,34,68,Serie A,18,30,6,12,20
koray-gunter-hellas-verona-2021-2022,koray-gunter,Koray Gunter,hellas-verona,Hellas Verona,2021-2022,2021/22,DF,30,29,2411,0,0,6,2,0,0,0,0,0,0,0,0,0,0,10,0,0,65,59,Serie A,9,53,14,11,13
albert-gudmundsson-genoa-2021-2022,albert-gudmundsson,Albert Gudmundsson,genoa,Genoa,2021-2022,2021/22,MF,12,6,607,1,0,9,1,0,0,0,0,0,0,0,0,0,0,3,0,0,27,60,Serie A,19,28,4,16,18
emmanuel-gyasi-spezia-2021-2022,emmanuel-gyasi,Emmanuel Gyasi,spezia,Spezia,2021-2022,2021/22,MF,36,35,3035,6,0,38,13,0,0,0,0,0,0,0,0,0,0,10,0,0,41,71,Serie A,16,36,10,6,22
norbert-gyomber-salernitana-2021-2022,norbert-gyomber,Norbert Gyomber,salernitana,Salernitana,2021-2022,2021/22,DF,31,30,2563,0,0,9,2,0,0,0,0,0,0,0,0,0,0,9,0,0,33,78,Serie A,17,31,7,10,21
