player_season_id,player_id,player_name,club_id,club_name,season_id,season_label,primary_position,appearances,starts,minutes_played,goals,assists,shots,shots_on_target,key_passes,progressive_passes,progressive_carries,successful_dribbles,xg,xa,tackles,interceptions,clearances,aerial_duels_won,yellow_cards,red_cards,clean_sheets,team_goals_scored,team_goals_conceded,league_name,final_table_rank,team_points,team_wins,team_draws,team_losses
sada-thioub-saint-etienne-2021-2022,sada-thioub,Sada Thioub,saint-etienne,Saint-Étienne,2021-2022,2021/22,MF,17,11,950,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,42,77,Ligue 1,18,32,7,11,20
romain-thomas-angers-2021-2022,romain-thomas,Romain Thomas,angers,Angers,2021-2022,2021/22,DF,30,29,2563,2,0,14,5,0,0,0,0,0,0,0,0,0,0,9,0,0,44,55,Ligue 1,14,41,10,11,17
adrien-thomasson-strasbourg-2021-2022,adrien-thomasson,Adrien Thomasson,strasbourg,Strasbourg,2021-2022,2021/22,MF,31,27,2389,8,4,48,19,0,0,0,0,0,0,0,0,0,0,2,1,0,60,43,Ligue 1,6,63,17,12,9
matheus-thuler-montpellier-2021-2022,matheus-thuler,Matheus Thuler,montpellier,Montpellier,2021-2022,2021/22,DF,16,10,855,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,49,61,Ligue 1,13,43,12,7,19
khephren-thuram-nice-2021-2022,khephren-thuram,Khéphren Thuram,nice,Nice,2021-2022,2021/22,MF,36,20,1901,4,2,22,6,0,0,0,0,0,0,0,0,0,0,4,0,0,52,36,Ligue 1,5,66,20,7,11
jean-clair-todibo-nice-2021-2022,jean-clair-todibo,Jean-Clair Todibo,nice,Nice,2021-2022,2021/22,DF,36,35,3115,1,0,18,5,0,0,0,0,0,0,0,0,0,0,6,0,0,52,36,Ligue 1,5,66,20,7,11
karl-toko-ekambi-lyon-2021-2022,karl-toko-ekambi,Karl Toko Ekambi,lyon,Lyon,2021-2022,2021/22,MF,30,26,2296,12,5,76,38,0,0,0,0,0,0,0,0,0,0,3,0,0,66,51,Ligue 1,8,61,17,11,10
yoann-touzghar-troyes-2021-2022,yoann-touzghar,Yoann Touzghar,troyes,Troyes,2021-2022,2021/22,FW,28,16,1457,4,0,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,37,53,Ligue 1,15,38,9,11,18
boubacar-traore-metz-2021-2022,boubacar-traore,Boubacar Traoré,metz,Metz,2021-2022,2021/22,MF,27,17,1726,1,1,22,5,0,0,0,0,0,0,0,0,0,0,9,1,0,35,69,Ligue 1,19,31,6,13,19
charles-traore-nantes-2021-2022,charles-traore,Charles Traore,nantes,Nantes,2021-2022,2021/22,DF,16,7,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,55,48,Ligue 1,9,55,15,10,13
hamari-traore-rennes-2021-2022,hamari-traore,Hamari Traoré,rennes,Rennes,2021-2022,2021/22,DF,33,33,2890,3,10,31,9,0,0,0,0,0,0,0,0,0,0,4,0,0,82,40,Ligue 1,4,66,20,6,12
ismael-traore-angers-2021-2022,ismael-traore,Ismaël Traoré,angers,Angers,2021-2022,2021/22,DF,37,36,3215,4,1,25,10,0,0,0,0,0,0,0,0,0,0,1,0,0,44,55,Ligue 1,14,41,10,11,17
miguel-trauco-saint-etienne-2021-2022,miguel-trauco,Miguel Trauco,saint-etienne,Saint-Étienne,2021-2022,2021/22,DF,17,12,1112,1,0,11,3,0,0,0,0,0,0,0,0,0,0,3,0,0,42,77,Ligue 1,18,32,7,11,20
adrien-truffert-rennes-2021-2022,adrien-truffert,Adrien Truffert,rennes,Rennes,2021-2022,2021/22,DF,30,18,1639,3,2,19,6,0,0,0,0,0,0,0,0,0,0,4,0,0,82,40,Ligue 1,4,66,20,6,12
