league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
FRA-Ligue 1,2324,Le Havre,André Ayew,5,2023,282,713,F M S,19,1106,5,3.90908195823431,5,3.90908195823431,0,1.1872607376426458,33,8,2,1,5.20885119214654,0.7863170336931944
FRA-Ligue 1,2324,Le Havre,Andy Logbo,5,2023,282,11793,F S,10,225,0,0.32186775654554367,0,0.32186775654554367,0,0.10051199421286583,4,3,0,0,0.2554340958595276,0.0
FRA-Ligue 1,2324,Le Havre,Antoine Joujou,5,2023,282,11794,F M S,23,722,0,1.2131121344864368,0,1.2131121344864368,2,0.5873505733907223,20,9,1,0,2.8249927572906017,1.3559063412249088
FRA-Ligue 1,2324,Le Havre,Arouna Sangante,5,2023,282,11788,D,30,2698,0,0.6515988428145647,0,0.6515988428145647,0,1.2633824171498418,16,17,8,0,5.54806715156883,4.7728124018758535
FRA-Ligue 1,2324,Le Havre,Arthur Desmas,5,2023,282,9638,GK,33,2970,0,0.0,0,0.0,0,0.1745983362197876,0,1,2,0,2.015949409455061,1.8413510732352734
FRA-Ligue 1,2324,Le Havre,Christopher Operi,5,2023,282,5801,D,28,2448,3,1.9374558152630925,3,1.9374558152630925,4,4.1019867630675435,23,49,6,0,6.740914304740727,4.17554272711277
FRA-Ligue 1,2324,Le Havre,Daler Kuzyaev,5,2023,282,2854,F M S,30,2114,2,1.9548383736982942,2,1.9548383736982942,2,1.2785213775932789,16,30,1,0,6.678595228120685,3.954864541068673
FRA-Ligue 1,2324,Le Havre,Emmanuel Sabbi,5,2023,282,11906,F M S,30,1598,5,4.6934321243315935,3,3.1733074951916933,1,1.693899305537343,31,10,5,0,6.173611456528306,2.0539181856438518
FRA-Ligue 1,2324,Le Havre,Gautier Lloris,5,2023,282,3701,D,31,2782,2,2.2394042601808906,2,2.2394042601808906,0,0.1668939907103777,16,3,2,0,4.126491610892117,4.035703734494746
FRA-Ligue 1,2324,Le Havre,Issa Soumaré,5,2023,282,11792,F M S,7,243,0,0.45729308016598225,0,0.45729308016598225,0,0.7231943272054195,5,3,0,0,0.5209243465214968,0.0809389054775238
FRA-Ligue 1,2324,Le Havre,Josué Casimir,5,2023,282,11789,D F M S,30,2066,0,1.4895929899066687,0,1.4895929899066687,5,4.364805613644421,21,30,6,0,7.464236579835415,3.6296002957969904
FRA-Ligue 1,2324,Le Havre,Loïc Négo,5,2023,282,11787,D M S,28,1583,0,1.3509439853951335,0,1.3509439853951335,3,1.1667233724147081,18,13,2,0,4.848459834232926,2.488972395658493
FRA-Ligue 1,2324,Le Havre,Mathieu Gorgelin,5,2023,282,3283,GK,1,90,0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0
FRA-Ligue 1,2324,Le Havre,Mohamed Bayo,5,2023,282,9646,F S,22,1408,5,7.344980435445905,3,5.824790125712752,1,0.6225849771872163,47,13,4,0,6.415509121492505,0.43796721287071705
FRA-Ligue 1,2324,Le Havre,Nabil Alioui,5,2023,282,11791,F M S,18,1026,4,2.152775105088949,4,2.152775105088949,1,1.971198357641697,28,24,1,0,3.7549580624327064,1.0701203802600503
FRA-Ligue 1,2324,Le Havre,Nolan Mbemba,5,2023,282,3693,S,6,7,1,0.04534989967942238,1,0.04534989967942238,0,0.0,2,0,0,0,0.04534989967942238,0.0
FRA-Ligue 1,2324,Le Havre,Oualid El Hajjam,5,2023,282,5958,D S,13,379,0,0.7073704451322556,0,0.7073704451322556,0,0.4363715946674347,8,7,1,0,1.186357282102108,0.3396501140668988
